;RISP;IDH real;Previsão(Cross-Validation);Previsão(Split Fixo)
0;1;0.81;0.8306851864868072;0.8099776597759533
1;2;0.695;0.7096100672030569;0.7022182930528044
2;3;0.715;0.7096051579428762;0.7105760076699318
3;4;0.673;0.6827745273534099;0.6747735591714754
4;5;0.712;0.7188288663166158;0.7159132604998576
5;6;0.695;0.6900646817763002;0.68827823759273
6;7;0.702;0.7002689200333969;0.6983689392721637
7;8;0.63;0.6404088327872728;0.6354150088169397
8;9;0.714;0.7191003090292046;0.7137552931422981
9;10;0.707;0.7027291881012936;0.7037237410058463
10;11;0.623;0.616685729639264;0.6142077768677977
11;12;0.654;0.6586035409325735;0.6497674183232048
12;13;0.671;0.6709317141989651;0.665987725429203
13;14;0.638;0.6385889308149726;0.6365069247542764
14;15;0.607;0.6091602256162326;0.6104158775606536
15;16;0.675;0.672503833614707;0.671931577684701
16;17;0.691;0.6848549042801484;0.6816445312831023
17;18;0.707;0.7011392411176528;0.6987661879852202
18;19;0.698;0.6975594899733859;0.6917812088024049
